timestamp_us,pressure,temperature
43925,9223754,9198468
87925,9223842,9200570
131925,9223508,9201654
175925,9222934,9202540
219925,9222370,9203732
263925,9221834,9204920
307925,9221752,9205672
351925,9221428,9206876
395925,9220774,9207440
439925,9221056,9208370
483925,9220612,9209224
527925,9220220,9209730
571925,9220312,9210130
615925,9220368,9211084
659925,9219724,9211564
703925,9219600,9212382
747925,9219350,9212298
791925,9219644,9212586
835925,9219546,9212754
879925,9219290,9213716
923925,9218832,9214066
967925,9219274,9214194
1011925,9218920,9214434
1055925,9219036,9214822
1099925,9218914,9215070
1143925,9218576,9214968
1187925,9218310,9215750
1231925,9218682,9215494
1275925,9218026,9215712
1319925,9218098,9216800
1363925,9218154,9216228
1407925,9217690,9216402
1451925,9217912,9217032
1495925,9218492,9217124
1539925,9217850,9217358
1583925,9217528,9217334
1627925,9218070,9216840
1671925,9217516,9217540
1715925,9217978,9217414
1759925,9218034,9217430
1803925,9217762,9217730
1847925,9217756,9217998
1891925,9217790,9218218
1935925,9217488,9217606
1979925,9217890,9218250
2023925,9217342,9218234
2067925,9217396,9218626
2111925,9217578,9218650
2155925,9217036,9218734
2199925,9217408,9219340
2243925,9218044,9218868
2287925,9217320,9218830
2331925,9217504,9218752
2375925,9217180,9219028
2419925,9217680,9218912
2463925,9217774,9219272
2507925,9217220,9218982
2551925,9217088,9219258
2595925,9217738,9218950
2639925,9217432,9219184
2683925,9217016,9219544
2727925,9217154,9219036
2771925,9217172,9219478
2815925,9217782,9219678
2859925,9217004,9219520
2903925,9217326,9219808
2947925,9217388,9219666
2991925,9217092,9219172
3035925,9216508,9219518
3079925,9217166,9219620
3123925,9217112,9219850
3167925,9216912,9219948
3211925,9217074,9219896
3255925,9217048,9219244
3299925,9217312,9219816
3343925,9217274,9219916
3387925,9217270,9219966
3431925,9216898,9219950
3475925,9216556,9219700
3519925,9217112,9220348
3563925,9216690,9219862
3607925,9216950,9219894
3651925,9216716,9220062
3695925,9216800,9220408
3739925,9216534,9220196
3783925,9216868,9220186
3827925,9217160,9219604
3871925,9217394,9220130
3915925,9216670,9220526
3959925,9217112,9220204
4003925,9216826,9220226
4047925,9217354,9220152
4091925,9216736,9219928
4135925,9216508,9219958
4179925,9217004,9220208
4223925,9217218,9220596
4267925,9216604,9220254
4311925,9217188,9220088
4355925,9217092,9220370
4399925,9217120,9220444
4443925,9216454,9220626
4487925,9217018,9219872
4531925,9216824,9220602
4575925,9216706,9220442
4619925,9216684,9220508
4663925,9217138,9220130
4707925,9216334,9220358
4751925,9216760,9220080
4795925,9216756,9220858
4839925,9216790,9220528
4883925,9216500,9220588
4927925,9217136,9220572
4971925,9216652,9220438
5015925,9216298,9221080
5059925,9216378,9220712
5103925,9216724,9220748
5147925,9216168,9220868
5191925,9216820,9220780
5235925,9216588,9220472
5279925,9216134,9220762
5323925,9216700,9220708
5367925,9216474,9220726
5411925,9216606,9220922
5455925,9216824,9220328
5499925,9216872,9220772
5543925,9216916,9220936
5587925,9216764,9220984
5631925,9216748,9220724
5675925,9216680,9220768
5719925,9217130,9220546
5763925,9216414,9221046
5807925,9216598,9220920
5851925,9216710,9220784
5895925,9217104,9221286
5939925,9216734,9221584
5983925,9217122,9220908
6027925,9216334,9221526
6071925,9216568,9220604
6115925,9216586,9221026
6159925,9216852,9221074
6203925,9216454,9221038
6247925,9216432,9220790
6291925,9216342,9221098
6335925,9216618,9221082
6379925,9217018,9221230
6423925,9216774,9221524
6467925,9216684,9221400
6511925,9216228,9220986
6555925,9216644,9221168
6599925,9216766,9221508
6643925,9216764,9221088
6687925,9216632,9221500
6731925,9216350,9221444
6775926,9216718,9221058
6819925,9216094,9221568
6863925,9216396,9221234
6907925,9216836,9221760
6951925,9216464,9221212
6995925,9216686,9221206
7039925,9216562,9221714
7083925,9216652,9221394
7127925,9216108,9221326
7171925,9216548,9221622
7215925,9216350,9221506
7535925,9218956,9214826
7579925,9218936,9214980
7623925,9218286,9215878
7667925,9218464,9216194
7711925,9218340,9216764
7755925,9217722,9216682
7799925,9218266,9217526
7843925,9217782,9217162
7887925,9217678,9217868
7931925,9217048,9218374
7975925,9217724,9218510
8019925,9217102,9218638
8063925,9217258,9218806
8107925,9217412,9219332
8151925,9217184,9219164
8195925,9216932,9220180
8239925,9216902,9220168
8283925,9216632,9220096
8327925,9216854,9220486
8371925,9216454,9220324
8415925,9217156,9220276
8459925,9216686,9220358
8503925,9217150,9220866
8547925,9216892,9220360
8591925,9216462,9220866
8635925,9216502,9221158
8679925,9216572,9220866
8723925,9216114,9221392
8767925,9216246,9221242
8811925,9216112,9221462
8855925,9216738,9220896
8899925,9216332,9221538
8943925,9215892,9221530
8987925,9216236,9221470
9031925,9216432,9221600
9075925,9216100,9221954
9119925,9216086,9222106
9163925,9216254,9221804
9207925,9216100,9221816
9251925,9215948,9221730
9295925,9216712,9222292
9339925,9216172,9221850
9383925,9216060,9221848
9427925,9216358,9221822
9471925,9216056,9222646
9515925,9216146,9222232
9559925,9215968,9221556
9603925,9215720,9221724
9647925,9215602,9222528
9691925,9215666,9222286
9735925,9215644,9222694
9779925,9216620,9222562
9823925,9216214,9222338
9867925,9216034,9222210
9911925,9215764,9222226
9955925,9216036,9222040
9999925,9216214,9222580
10043925,9216288,9222694
10087925,9215914,9223022
10131925,9216522,9222288
10175925,9215906,9222500
10219925,9215842,9222912
10263925,9216068,9222210
10307925,9216134,9222654
10351925,9215766,9222378
10395925,9215356,9223342
10439925,9215754,9222858
10483925,9215886,9222718
10527925,9215792,9223226
10571925,9216160,9222526
10615925,9215748,9222988
10659925,9215978,9223068
10703925,9215498,9222880
10747925,9215854,9223256
10791925,9215698,9222766
10835925,9215966,9223008
10879925,9215852,9222986
10923925,9215986,9222980
10967925,9215696,9223214
11011925,9216266,9223274
11055925,9215510,9223044
11099925,9216080,9223044
11143925,9215488,9222842
11187925,9215682,9223346
11231925,9215818,9223800
11275925,9216452,9223292
11319925,9215650,9223040
11363925,9215800,9223398
11407925,9216372,9223136
11451925,9215780,9223494
11495925,9215316,9223192
11539925,9215620,9223096
11583925,9215900,9223004
11627925,9215254,9223894
11671925,9215818,9222808
11715925,9215518,9223386
11759925,9215504,9223722
11803925,9216000,9223570
11847925,9215718,9223304
11891925,9216056,9223692
11935925,9216298,9223284
11979925,9215656,9222882
12023925,9215516,9223422
12067925,9215778,9223478
12111925,9215904,9223914
12155925,9215194,9223406
12199925,9215716,9224088
12243925,9215892,9223454
12287925,9215006,9223368
12331925,9215550,9223952
12375925,9215564,9224112
12419925,9215202,9223588
12463925,9215462,9223742
12507925,9216376,9224012
12551925,9215652,9223882
12595925,9215432,9223554
12639925,9215524,9223696
12683925,9215502,9223696
12727925,9215446,9223944
12771925,9215150,9223950
12815925,9215548,9223826
12859925,9215376,9223540
12903925,9215490,9224082
12947925,9215430,9224074
12991925,9215358,9224026
13035925,9215588,9224208
13079925,9215386,9223984
13123925,9215370,9224110
13167925,9215414,9223640
13211925,9215786,9224178
13255925,9215212,9223706
13299925,9215376,9224120
13343925,9215276,9224476
13387925,9215756,9224438
13431925,9215378,9224248
13475925,9215444,9224078
13519925,9215344,9224514
13563925,9215082,9224300
13607925,9215342,9224410
13651925,9215464,9224348
13695925,9215740,9224110
13739925,9215354,9224160
13783925,9215458,9224724
13827925,9215704,9224370
13871925,9215324,9225420
13915925,9215642,9224528
13959925,9215222,9224956
14003925,9214910,9224576
14047925,9215498,9224846
14091925,9215394,9224832
14135925,9215350,9224876
14179925,9215214,9224772
14223925,9214900,9224540
14267925,9215278,9224682
14311925,9215592,9224638
14355925,9215528,9224510
14399925,9215334,9224736
14443925,9215320,9224786
14487925,9215034,9224686
14531925,9215188,9224800
14701925,9216060,9221240
14745925,9216564,9221302
14789925,9216062,9221918
14833925,9216108,9221924
14877925,9216084,9222344
14921925,9215860,9222656
14965925,9215850,9222752
15009925,9216156,9222900
15053925,9215760,9222422
15097925,9215118,9222868
15141925,9215536,9223138
15185925,9215728,9223338
15229925,9215110,9223214
15273925,9215802,9223636
15317925,9215788,9223408
15361925,9215450,9223508
15405925,9215260,9223954
15449925,9215312,9224108
15493925,9215658,9224288
15537925,9215100,9224024
15581925,9215094,9224480
15625925,9215098,9224470
15669925,9215516,9224578
15713925,9215422,9224302
15757925,9215440,9223792
15801925,9215206,9224098
15845925,9215108,9224866
15889925,9215418,9224066
15933925,9215408,9225076
15977925,9215368,9224848
16021925,9215056,9224870
16065925,9215408,9224640
16109925,9214750,9225142
16153925,9215072,9225166
16197925,9215134,9224834
16241925,9215588,9224944
16285925,9214788,9225262
16329925,9215100,9224954
16373925,9215210,9225334
16417925,9215090,9225252
16461925,9215058,9225342
16505925,9215166,9225292
16549925,9214802,9225512
16593925,9215552,9225252
16637925,9215250,9225494
16681925,9214604,9225756
16725925,9215028,9225498
16769925,9214574,9225548
16813925,9214838,9225552
16857925,9214794,9225184
16901925,9215044,9225196
16945925,9214404,9225154
16989925,9214456,9225686
17033925,9215166,9225532
17077925,9214494,9225692
17121925,9214730,9226110
17165925,9214886,9225572
17209925,9215098,9225640
17253925,9214490,9225482
17297925,9215106,9225948
17341925,9214802,9225872
17385925,9214824,9226000
17429925,9215048,9225772
17473925,9214822,9226110
17517925,9214618,9225756
17561925,9213738,9225706
17605925,9214772,9226056
17649925,9214362,9226302
17693925,9214172,9226056
17737925,9214800,9225546
17781925,9214802,9225848
17825925,9214894,9225668
17869925,9214518,9226042
17913925,9214954,9226206
17957925,9214454,9226440
18001925,9215028,9225950
18045925,9214678,9225952
18089925,9214712,9225924
18133925,9214910,9226222
18177925,9215364,9226116
18221925,9215014,9226080
18265925,9214354,9226510
18309925,9214722,9226230
18353925,9214828,9225822
18397925,9214368,9225680
18441925,9214766,9226726
18485925,9214886,9225978
18529925,9214780,9225960
18573925,9214230,9226708
18617925,9214740,9226724
18661925,9214748,9226708
18705925,9214850,9226254
18749925,9214452,9226088
18793925,9214512,9226384
18837925,9214758,9226044
18881925,9214340,9226772
18925925,9214356,9226878
18969925,9214844,9226748
19013925,9214204,9226552
19057925,9214360,9226584
19101925,9214566,9226752
19145925,9214698,9226824
19189925,9214736,9226776
19233925,9214200,9227166
19277925,9213986,9226838
19321925,9214794,9227558
19365925,9214610,9226810
19409925,9214442,9226730
19453925,9214442,9226990
19497925,9214504,9227078
19541925,9214618,9227408
19585925,9214388,9227050
19629925,9214766,9226678
19673925,9214196,9227314
19717925,9214810,9226968
19761925,9214906,9226792
19805925,9214046,9226938
19849925,9214514,9226716
19893925,9214870,9227328
19937925,9214814,9227296
19981925,9214422,9227066
20025925,9214106,9227236
20069925,9214236,9226978
20113925,9214140,9227582
20157925,9214100,9227278
20201925,9213926,9227320
20245925,9214378,9227472
20289925,9214400,9227424
20333925,9214268,9227522
20377925,9214224,9227748
20421925,9214234,9227308
20465925,9214116,9227544
20509925,9214310,9227546
20553925,9214046,9227228
20597925,9214134,9227562
20641925,9214130,9227780
20685925,9214212,9228152
20729925,9214094,9227998
20773925,9214168,9227450
20817925,9213712,9227282
20861925,9214286,9228110
20905925,9214428,9227392
20949925,9214178,9227668
20993925,9214230,9228350
21037925,9214004,9227322
21081925,9214010,9228134
21125925,9214158,9227990
21169925,9214086,9227722
21213925,9214058,9228008
21257925,9214098,9227922
21301925,9213928,9227776
21345925,9214002,9228062
21389925,9213492,9227808
21433925,9213836,9228266
21477925,9213790,9228158
21521925,9214208,9227968
21565925,9214160,9227622
21737925,9215294,9224356
21781925,9215396,9223774
21825925,9215626,9224540
21869925,9215194,9224936
