timestamp_us,pressure,temperature
7925,9224672,9192416
15925,9225184,9193952
23925,9225696,9193952
31925,9224672,9192416
39942,9223136,9192928
47925,9224672,9193440
55925,9224672,9195488
63925,9226208,9195488
71925,9224160,9197024
79925,9223648,9194464
87925,9224672,9196000
95925,9226208,9196000
103925,9223648,9192928
111925,9222624,9193952
119925,9224672,9195488
127925,9223136,9193952
135925,9225184,9193952
143925,9224672,9196512
151925,9224672,9193952
159925,9223136,9194464
167925,9224160,9195488
175925,9225184,9193952
183925,9224160,9195488
191925,9223136,9196000
199925,9225696,9194976
207925,9225184,9197024
215925,9223648,9196000
223925,9224160,9197024
231925,9223136,9195488
239925,9223648,9195488
247925,9223648,9197024
255925,9223648,9195488
263925,9223648,9197024
271925,9224160,9196000
279925,9225184,9194976
287925,9224672,9197024
295925,9222624,9197536
303925,9225184,9196512
311925,9222624,9198048
319925,9223136,9197024
327925,9225184,9194464
335925,9225696,9197024
343925,9225696,9198560
351925,9224672,9196512
359925,9223136,9198560
367925,9224160,9197536
375925,9224160,9194976
383925,9226208,9196512
391925,9224672,9197024
399925,9224672,9198560
407925,9224672,9197536
415925,9224672,9195488
423925,9222112,9195488
431925,9220576,9197536
439925,9224672,9197536
447925,9223648,9199072
455925,9223648,9199072
463925,9224160,9198560
471925,9223136,9198048
479925,9223136,9198048
487925,9222112,9198048
495925,9221600,9196512
503925,9223136,9196512
511925,9222624,9198560
519925,9223648,9196512
527925,9222112,9197536
535925,9223136,9197536
543925,9224160,9197536
551925,9223136,9197024
559925,9222112,9198560
567925,9223648,9199072
575925,9223648,9199584
583925,9223136,9197536
591925,9223136,9197536
599925,9223136,9198048
607925,9222624,9199072
615925,9223648,9198560
623925,9223136,9198048
631925,9224160,9199072
639925,9222112,9199072
647925,9223648,9199072
655925,9223136,9198560
663925,9223648,9198560
671925,9224672,9199072
679925,9222624,9199072
687925,9224672,9199072
695925,9222112,9195488
703925,9224160,9200096
711925,9222624,9198048
719925,9224160,9200096
727925,9221600,9199584
735925,9224160,9198560
743925,9222624,9199584
751925,9222624,9198560
759925,9223136,9198560
767925,9222112,9198560
775925,9223648,9199072
783925,9223648,9200096
791925,9222624,9198560
799925,9222112,9198560
807925,9224160,9199584
815925,9224160,9200608
823925,9223648,9200096
831925,9224672,9197024
839925,9221600,9199584
847925,9223136,9199584
855925,9223136,9200608
863925,9222624,9201632
871925,9223136,9197536
879925,9222624,9199584
887925,9224160,9199584
895925,9221088,9198560
903925,9222624,9198560
911925,9223648,9198560
919925,9222112,9199072
927925,9225184,9200096
935925,9222624,9200096
943925,9223136,9199072
951925,9223136,9199072
959925,9224672,9199072
967925,9220576,9200096
975925,9224160,9200096
983925,9223136,9198048
991925,9222624,9199072
999925,9222624,9199072
1007925,9223648,9199072
1015925,9222624,9199072
1023925,9223136,9200096
1031925,9221600,9200608
1039925,9222624,9199072
1047925,9223136,9200096
1055925,9223648,9199584
1063925,9222112,9200096
1071925,9222112,9199584
1079925,9220576,9199072
1087925,9221600,9198560
1095925,9223136,9199072
1103925,9220576,9199584
1111925,9222112,9201120
1119925,9223136,9202656
1127925,9224672,9198048
1135925,9222112,9199584
1143925,9222112,9200608
1151925,9224160,9199072
1159925,9221600,9200608
1167925,9220576,9202656
1175925,9220576,9200096
1183925,9223648,9198048
1191925,9222112,9201632
1199925,9224672,9200608
1207925,9223136,9199072
1215925,9222624,9201632
1223925,9224672,9199584
1231925,9224160,9199072
1239925,9223136,9200608
1247925,9222112,9200096
1255925,9220064,9201632
1263925,9222624,9200096
1271925,9222112,9201632
1279925,9222112,9200096
1287925,9223136,9201632
1295925,9222624,9200608
1303925,9224160,9199584
1311925,9220064,9199072
1319925,9222112,9200096
1327925,9222112,9200096
1335925,9222624,9198560
1343925,9223136,9198560
1627925,9225696,9198560
1635925,9223136,9198560
1643925,9222112,9199072
1651925,9222112,9198560
1659925,9222112,9199584
1667925,9223648,9199072
1675925,9222624,9197536
1683925,9221600,9198560
1691925,9223136,9196000
1699925,9222624,9198560
1707925,9222112,9197536
1715925,9224160,9199584
1723925,9224672,9199072
1731925,9222112,9198560
1739925,9224672,9198560
1747925,9222624,9198560
1755925,9221600,9198560
1763925,9222624,9199584
1771925,9224160,9199072
1779925,9223136,9196000
1787925,9223648,9199584
1795925,9220576,9196000
1803925,9223648,9198560
1811925,9222624,9198560
1819925,9224672,9198048
1827925,9224160,9202144
1835925,9224672,9198048
1843925,9223136,9198560
1851925,9223136,9199584
1859925,9225184,9198048
1867925,9221088,9198048
1875925,9222112,9200096
1883925,9223136,9201120
1891925,9221600,9199584
1899925,9223648,9198560
1907925,9224672,9201120
1915925,9226208,9198560
1923925,9223136,9200608
1931925,9222112,9198048
1939925,9222624,9200096
1947925,9221088,9199584
1955925,9222624,9200608
1963925,9223648,9201632
1971925,9223648,9200096
1979925,9221600,9199072
1987925,9224672,9200096
1995925,9221600,9198560
2003925,9223648,9199072
2011925,9220576,9199072
2019925,9221088,9199072
2027925,9223648,9199072
2035925,9221600,9198560
2043925,9222624,9199072
2051925,9224160,9201120
2059925,9223136,9200608
2067925,9223648,9201632
2075925,9223136,9199584
2083925,9222624,9199072
2091925,9223136,9199072
2099925,9222624,9200608
2107925,9223136,9198048
2115925,9220064,9200608
2123925,9222624,9200096
2131925,9221600,9199584
2139925,9223136,9200096
2147925,9224160,9200096
2155925,9222624,9199072
2163925,9223136,9200096
2171925,9222624,9199584
2179925,9223648,9200096
2187925,9220576,9199584
2195925,9223136,9199584
2203925,9223648,9199072
2211925,9224160,9199584
2219925,9222112,9200096
2227925,9223136,9202144
2235925,9220576,9199584
2243925,9221088,9201632
2251925,9221088,9200096
2259925,9223136,9200608
2267925,9223136,9201120
2275925,9220576,9199584
2283925,9222112,9199072
2291925,9224160,9200096
2299925,9222624,9199584
2307925,9222624,9199072
2315925,9225184,9200096
2323925,9222624,9200096
2331925,9223136,9202144
2339925,9219552,9199072
2347925,9223648,9201632
2355925,9223136,9200096
2363925,9222112,9200608
2371925,9222624,9200096
2379925,9222624,9198560
2387925,9223136,9200096
2395925,9220064,9199072
2403925,9225184,9199584
2411925,9222112,9201632
2419925,9221088,9203168
2427925,9222624,9199072
2435925,9220576,9199072
2443925,9221600,9200096
2451925,9220576,9200608
2459925,9224672,9202144
2467925,9220576,9200096
2475925,9223648,9201632
2483925,9220064,9202144
2491925,9220064,9202144
2499925,9223136,9200608
2507925,9220064,9200608
2515925,9220064,9199072
2523925,9223136,9200608
2531925,9223648,9201632
2539925,9224160,9202144
2547925,9223648,9200096
2555925,9225184,9202656
2563925,9221600,9200608
2571925,9223648,9201120
2579925,9222112,9199072
2587925,9224160,9200608
2595925,9222624,9200096
2603925,9223136,9202144
2611925,9221600,9199072
2619925,9222624,9202144
