timestamp_us,pressure,temperature
15925,9226328,9194008
31925,9225592,9194680
47925,9224600,9195000
63925,9225816,9196632
79925,9225656,9196056
95925,9225496,9195928
111925,9224440,9197752
127925,9225080,9197592
143925,9225016,9196408
159925,9224632,9197560
175925,9224696,9197176
191925,9224088,9198712
207925,9224792,9198680
223925,9223672,9198360
239925,9223800,9198904
255925,9223480,9198392
271925,9224472,9200120
287925,9223992,9199512
303925,9223192,9200056
319925,9223608,9200408
335925,9223640,9200184
351925,9223000,9200728
367925,9223960,9201080
383925,9224280,9201048
399925,9223672,9201368
415925,9223256,9201528
431925,9223256,9201400
447925,9223896,9200568
463925,9223096,9201624
479925,9223832,9201688
495926,9222744,9201080
511925,9222200,9201752
527925,9223704,9202072
543925,9223256,9202584
559925,9222200,9201208
575925,9222296,9202168
591925,9222584,9202840
607925,9223096,9202904
623925,9222424,9203448
639925,9222552,9203384
655925,9222552,9203352
671925,9222072,9203096
687925,9222328,9204696
703925,9223416,9204408
719925,9221304,9203512
735925,9223160,9204824
751925,9223544,9203832
767925,9222232,9204376
783925,9222840,9204952
799925,9222040,9204984
815925,9222168,9204184
831925,9222552,9204760
847925,9222232,9205048
863925,9220984,9204376
879925,9222168,9205016
895925,9221112,9205304
911925,9221496,9205592
927925,9222296,9204952
943925,9221464,9204504
959925,9221528,9204728
975925,9222936,9205496
991925,9221336,9205272
1007925,9222520,9206104
1023925,9222488,9206040
1039925,9221944,9205432
1055925,9221304,9206040
1071925,9220600,9204696
1087925,9221528,9205592
1103925,9222104,9206040
1119925,9222328,9206680
1135925,9221912,9205848
1151925,9221144,9206168
1167925,9222040,9206456
1183925,9221336,9206680
1199925,9222008,9206040
1215925,9220472,9206328
1231925,9221528,9206648
1247925,9221624,9206552
1263925,9220984,9207352
1279925,9220568,9206424
1295925,9221112,9206808
1311925,9221464,9207608
1327925,9222072,9206264
1343925,9220568,9205944
1359925,9222424,9207736
1375925,9220888,9206488
1391925,9221912,9207192
1407925,9221368,9207160
1423925,9222072,9207000
1439925,9222328,9207512
1455925,9220568,9206808
1471925,9221720,9206488
1487925,9221080,9207000
1503925,9221304,9207096
1519925,9221560,9206712
1535925,9221688,9206648
1551925,9222232,9207576
1567925,9221336,9207000
1583925,9221592,9207928
1599925,9221432,9207256
1615925,9221432,9207096
1631925,9220760,9207448
1647925,9221528,9206648
1663925,9220504,9206680
1679925,9221464,9208056
1695925,9221944,9208760
1711925,9221336,9207032
1727925,9220952,9207544
1743925,9220152,9207864
1759925,9220472,9207928
1775925,9221880,9206808
1791925,9221912,9208696
1807925,9221080,9207544
1823925,9221208,9208376
1839925,9221112,9207192
1855925,9220728,9207288
1871925,9221816,9208728
1887925,9220920,9207256
1903925,9221752,9207448
1919925,9221784,9208120
1935925,9220376,9208600
1951925,9221400,9208024
1967925,9221144,9207896
1983925,9221144,9208632
1999925,9221432,9208024
2015925,9221400,9208184
2031925,9221176,9207544
2047925,9221784,9207608
2063925,9221752,9208760
2079925,9221112,9207864
2095925,9221336,9208056
2111925,9221048,9207640
2127925,9221112,9207768
2143925,9220760,9207992
2159925,9220824,9208344
2175925,9220184,9208696
2191925,9221336,9208760
2207925,9221144,9208792
2223925,9220600,9208728
2239925,9220376,9207864
2255925,9221656,9207480
2271925,9220984,9207448
2287925,9221208,9207352
2303925,9221272,9208920
2319925,9221112,9208792
2335925,9221080,9209528
2351925,9220600,9208440
2367925,9220664,9208632
2383925,9221016,9209016
2399925,9220472,9207864
2415925,9220088,9208248
2431925,9221560,9208184
2447925,9220920,9208056
2463925,9220696,9209400
2479925,9221496,9209208
2495925,9220408,9208120
2511925,9221144,9208312
2527925,9220984,9209048
2543925,9220504,9208312
2559925,9220984,9208120
2575925,9220664,9208024
2591925,9221208,9208312
2607925,9220376,9209528
2623925,9221240,9209240
2639925,9220728,9209080
2655925,9220760,9207576
2941925,9221976,9203192
2957925,9221848,9203064
2973925,9222904,9203320
2989925,9222488,9204152
3005925,9223096,9203224
3021925,9222392,9204216
3037925,9223416,9205208
3053925,9222584,9204312
3069925,9222136,9205144
3085925,9222552,9205400
3101925,9222264,9204600
3117925,9221720,9204440
3133925,9222616,9205624
3149925,9221816,9204696
3165925,9220984,9204696
3181925,9221304,9205144
3197925,9222680,9205784
3213925,9221912,9206712
3229925,9221272,9206424
3245925,9222424,9206552
3261925,9222136,9205688
3277925,9221784,9206360
3293925,9222072,9205848
3309925,9222008,9206136
3325925,9222200,9206968
3341925,9221400,9205528
3357925,9222040,9206456
3373925,9221816,9206616
3389925,9221176,9207096
3405925,9222008,9206360
3421925,9222488,9206264
3437925,9221496,9205624
3453925,9220984,9205560
3469925,9221432,9206808
3485925,9221080,9206200
3501925,9220792,9206296
3517925,9221080,9206328
3533925,9221688,9206808
3549925,9221496,9207384
3565925,9221272,9206296
3581925,9221784,9207480
3597925,9221304,9207128
3613925,9221112,9206776
3629925,9221368,9207544
3645925,9221368,9207192
3661925,9221656,9206808
3677925,9220216,9207192
3693925,9222328,9207672
3709925,9221304,9207608
3725925,9221400,9207256
3741925,9220760,9207416
3757925,9221560,9207512
3773925,9220760,9207736
3789925,9220280,9207896
3805925,9220632,9207160
3821925,9221816,9207512
3837925,9220728,9207704
3853925,9220664,9208056
3869925,9220536,9207448
3885925,9221048,9207640
3901925,9221624,9208536
3917925,9219864,9208408
3933925,9220856,9208184
3949925,9221624,9209048
3965925,9221304,9208664
3981925,9220920,9208408
3997925,9221432,9208408
4013925,9220120,9208216
4029925,9220536,9208632
4045925,9219960,9208696
4061925,9221016,9208728
4077925,9220024,9209432
4093925,9220344,9208568
4109925,9221816,9209048
4125925,9220504,9207640
4141925,9221528,9209272
4157925,9221176,9208664
4173925,9221048,9208952
4189925,9220888,9207512
4205925,9221240,9208536
4221925,9220216,9209912
4237925,9220696,9208952
4253925,9220920,9208312
4269925,9220312,9209272
4285925,9220312,9208760
4301925,9220888,9209496
4317925,9220760,9209240
4333925,9221656,9208856
4349925,9220920,9209336
4365925,9221400,9209368
4381925,9221016,9208024
4397925,9219960,9208120
4413925,9220536,9209112
4429925,9221720,9208856
4445925,9221528,9208792
4461925,9220824,9208440
4477925,9220472,9208888
4493925,9220760,9209112
4509925,9221048,9208856
4525925,9221752,9209112
4541925,9220312,9208856
4557925,9221368,9208216
4573925,9220984,9208600
4589925,9221112,9208888
4605925,9221112,9208312
4621925,9221304,9209048
4637925,9221144,9208792
4653925,9221272,9209208
4669925,9221240,9207608
4685925,9220888,9209176
4701925,9219576,9208504
4717925,9220952,9208856
4733925,9220600,9209016
4749925,9220376,9209976
4765925,9221176,9208216
4781925,9221400,9208664
4797925,9221112,9209176
4813925,9221080,9209720
4829925,9220696,9208696
4845925,9220152,9208888
4861925,9220600,9208760
4877925,9220888,9208344
4893925,9220152,9209624
4909925,9221080,9209816
4925925,9220856,9210552
4941925,9220120,9209112
4957925,9220824,9209432
4973925,9220664,9208216
4989925,9220856,9208664
5005925,9220152,9209560
5021925,9220760,9209592
5037925,9220536,9208728
5053925,9219928,9208664
5069925,9220280,9208696
5085925,9220728,9209912
5101925,9220728,9208664
5117925,9220728,9209432
5133925,9221816,9208696
5149925,9220792,9209176
5165925,9221112,9208952
5181925,9220792,9209720
5197925,9220536,9209976
5213925,9220440,9209144
5229925,9219704,9208472
5245925,9221048,9209240
5261925,9221432,9208952
5277925,9222232,9208664
5293925,9220792,9209496
5309925,9220536,9208952
5325925,9220952,9209592
5341925,9220728,9209016
5357925,9220952,9209336
5373925,9221144,9209272
5389925,9220728,9209336
5405925,9220792,9208952
