timestamp_ms,mag_x_ut,mag_y_ut,mag_z_ut
5753,-13.6902,-72.3267,-16.9983
5763,-13.4277,-72.4243,-17.1692
5773,-13.5925,-72.4854,-17.5659
5783,-13.6658,-72.4243,-16.9800
5793,-13.6475,-72.4548,-17.0227
5803,-13.6230,-72.2961,-17.2302
5813,-13.6658,-72.3267,-17.0166
5823,-13.5498,-72.3816,-17.0532
5833,-13.5925,-72.2717,-17.1143
5843,-13.6230,-72.2046,-16.5283
5853,-13.5559,-72.5586,-16.6992
5863,-13.5864,-72.2107,-16.8640
5873,-13.6780,-72.3083,-16.8213
5883,-13.8000,-72.1375,-16.8701
5893,-13.8123,-72.4060,-16.7236
5903,-13.8916,-72.2900,-16.7297
5913,-13.9038,-72.2717,-16.5527
5923,-13.9038,-72.3511,-16.3208
5933,-13.8428,-72.2107,-16.4917
5943,-13.8733,-72.3511,-16.4795
5953,-13.9099,-72.2473,-16.5833
5963,-13.9587,-72.2961,-16.3147
5973,-14.0137,-72.3511,-16.1499
5983,-14.1602,-72.2412,-16.1194
5993,-14.1113,-72.3389,-16.4185
6003,-14.1846,-72.0520,-16.4429
6013,-14.0991,-72.3572,-16.5344
6023,-14.0198,-72.1863,-16.1255
6033,-14.0320,-72.3389,-16.3208
6043,-14.1663,-72.1924,-16.3269
6053,-14.1052,-72.2717,-16.3025
6063,-14.1418,-72.1313,-16.2170
6073,-14.2151,-72.0825,-16.3269
6083,-14.2578,-72.3999,-16.5466
6093,-14.2212,-72.2473,-16.4124
6103,-14.1174,-72.0764,-16.4124
6113,-14.1541,-72.2229,-16.3147
6123,-14.0930,-72.3206,-16.3452
6133,-14.1052,-72.2229,-16.3147
6143,-14.1418,-72.3450,-16.5222
6153,-14.1418,-72.3938,-16.5649
6163,-14.1846,-72.5037,-16.2354
6173,-14.1846,-72.1191,-16.2781
6183,-14.1113,-72.2290,-16.3269
6193,-14.2273,-72.2046,-16.4673
6203,-14.2334,-72.3938,-16.2537
6213,-14.2761,-72.2778,-16.2476
6223,-14.1785,-72.4121,-16.3879
6233,-14.2090,-72.2839,-16.1926
6243,-14.2700,-72.3389,-16.3391
6253,-14.2639,-72.2351,-16.2048
6263,-14.2700,-72.2473,-16.3147
6273,-14.2090,-72.3694,-16.1743
6283,-14.3005,-72.2046,-16.0889
6293,-14.3616,-72.2534,-16.4368
6303,-14.2761,-72.1741,-16.2720
6313,-14.1296,-72.2351,-16.4124
6323,-14.2517,-72.4426,-16.2354
6333,-14.2639,-72.2412,-16.1194
6343,-14.3555,-72.4426,-16.1255
6353,-14.2395,-72.1252,-16.1926
6363,-14.2578,-72.1985,-16.2415
6373,-14.2578,-72.2046,-16.2476
6383,-14.2639,-72.3145,-16.3269
6393,-14.2334,-72.2534,-16.0889
6403,-14.1785,-72.3938,-16.2659
6413,-14.2273,-72.3511,-16.2598
