timestamp_ms,raw_x_ut,raw_y_ut,raw_z_ut,cal_x_ut,cal_y_ut,cal_z_ut
5647,-16.0706,-24.8596,-37.9517,-5.1990,-1.2510,-15.5269
5657,-16.0400,-24.5544,-38.1287,-5.1785,-1.0080,-15.6617
5667,-15.7776,-24.5911,-38.4766,-4.9700,-1.0471,-15.9381
5677,-15.8142,-24.4995,-38.4521,-5.0003,-0.9722,-15.9172
5687,-15.8264,-24.4141,-38.3911,-5.0119,-0.9022,-15.8679
5697,-15.8386,-24.2554,-38.6108,-5.0217,-0.7772,-16.0380
5707,-15.7227,-24.2371,-38.8672,-4.9290,-0.7682,-16.2402
5717,-15.9485,-24.2310,-38.8489,-5.1050,-0.7591,-16.2233
5727,-15.9058,-24.1394,-39.0625,-5.0711,-0.6891,-16.3901
5737,-16.0278,-23.9990,-39.0686,-5.1684,-0.5739,-16.3915
5747,-16.1987,-23.8525,-39.0869,-5.3036,-0.4531,-16.4019
5757,-16.2537,-23.7061,-39.2761,-5.3468,-0.3368,-16.5477
5767,-16.3269,-23.6511,-39.1602,-5.4060,-0.2896,-16.4550
5777,-16.4734,-23.5962,-39.2029,-5.5204,-0.2434,-16.4862
5787,-16.5161,-23.7671,-39.2456,-5.5503,-0.3811,-16.5218
5797,-16.7236,-23.4009,-39.1418,-5.7191,-0.0807,-16.4327
5807,-16.8701,-23.5046,-39.4592,-5.8278,-0.1665,-16.6818
5817,-16.9250,-23.3398,-39.5020,-5.8729,-0.0333,-16.7123
5827,-17.0593,-23.3459,-39.3555,-5.9789,-0.0338,-16.5960
5837,-17.1570,-23.2422,-39.2517,-6.0577,0.0531,-16.5120
5847,-17.1814,-23.0957,-39.1907,-6.0799,0.1726,-16.4617
5857,-17.4377,-23.1140,-38.9954,-6.2811,0.1650,-16.3058
5867,-17.3889,-23.3154,-39.0808,-6.2388,0.0005,-16.3764
5877,-17.4744,-23.2117,-39.0747,-6.3071,0.0857,-16.3692
5887,-17.6025,-23.0286,-39.2456,-6.4081,0.2331,-16.4992
5897,-17.7063,-23.1873,-39.0930,-6.4877,0.1091,-16.3807
5907,-17.7124,-23.1628,-39.2334,-6.4914,0.1268,-16.4904
5917,-17.8528,-22.9919,-39.0320,-6.6057,0.2700,-16.3283
5927,-17.8162,-22.8271,-39.1663,-6.5786,0.4004,-16.4317
5937,-17.8528,-23.0591,-39.0869,-6.6040,0.2151,-16.3724
5947,-17.9138,-22.8943,-38.8550,-6.6568,0.3524,-16.1873
5957,-17.9138,-22.9492,-38.7085,-6.6574,0.3103,-16.0731
5967,-17.9321,-22.9614,-38.7390,-6.6711,0.3003,-16.0971
5977,-18.0237,-23.0469,-38.8306,-6.7399,0.2316,-16.1692
5987,-18.0481,-23.0591,-38.7878,-6.7591,0.2228,-16.1356
5997,-18.0054,-22.8516,-38.7573,-6.7298,0.3899,-16.1090
6007,-18.0054,-22.8577,-38.8916,-6.7282,0.3830,-16.2145
6017,-18.0237,-22.8210,-38.8123,-6.7439,0.4140,-16.1515
6027,-18.0115,-22.9126,-38.8977,-6.7320,0.3387,-16.2200
6037,-17.9932,-22.7966,-38.6841,-6.7220,0.4350,-16.0509
6047,-18.0664,-22.9309,-38.9343,-6.7740,0.3243,-16.2485
6057,-18.0054,-23.0103,-38.9099,-6.7254,0.2596,-16.2311
6067,-18.1091,-23.1018,-38.6963,-6.8069,0.1907,-16.0637
6077,-17.9810,-23.1323,-39.1479,-6.7018,0.1573,-16.4200
6087,-18.1580,-23.2544,-38.9404,-6.8396,0.0649,-16.2570
6097,-17.9626,-23.0530,-38.6047,-6.6947,0.2289,-15.9927
6107,-17.9688,-23.0408,-38.5742,-6.7000,0.2393,-15.9685
6117,-18.0115,-22.8882,-38.9465,-6.7318,0.3577,-16.2580
6127,-17.8345,-23.0530,-38.8062,-6.5928,0.2238,-16.1521
6137,-17.9871,-23.0347,-38.8306,-6.7116,0.2408,-16.1694
6147,-18.0054,-23.1323,-39.0198,-6.7221,0.1596,-16.3191
6157,-18.0664,-23.0408,-38.6353,-6.7753,0.2401,-16.0153
6167,-18.0603,-23.0286,-39.0442,-6.7664,0.2439,-16.3362
6177,-18.2129,-23.0591,-38.8489,-6.8867,0.2247,-16.1817
6187,-18.1641,-23.1079,-39.1296,-6.8448,0.1804,-16.4033
6197,-18.2800,-23.0225,-38.7085,-6.9411,0.2574,-16.0702
6207,-18.2068,-23.1628,-38.6841,-6.8819,0.1433,-16.0539
6217,-18.2800,-23.0591,-38.7878,-6.9396,0.2267,-16.1331
6227,-18.2617,-23.1934,-39.1479,-6.9191,0.1129,-16.4179
6237,-18.4448,-23.2178,-38.9404,-7.0634,0.0993,-16.2534
6247,-18.4265,-23.3337,-39.0137,-7.0464,0.0044,-16.3127
6257,-18.2556,-23.2788,-38.7878,-6.9168,0.0491,-16.1365
6267,-18.4448,-23.2666,-38.9404,-7.0626,0.0599,-16.2541
6277,-18.5242,-23.2849,-38.6841,-7.1268,0.0503,-16.0523
6287,-18.5303,-23.3337,-38.7146,-7.1304,0.0105,-16.0769
6297,-18.5974,-23.3093,-38.8245,-7.1818,0.0298,-16.1620
6307,-18.5669,-23.3032,-38.8977,-7.1574,0.0331,-16.2198
6317,-18.6523,-23.3643,-38.7207,-7.2247,-0.0121,-16.0808
6327,-18.5852,-23.4985,-38.7817,-7.1696,-0.1224,-16.1314
6337,-18.6523,-23.3337,-38.8733,-7.2236,0.0103,-16.2001
6347,-18.6584,-23.5657,-38.8062,-7.2251,-0.1757,-16.1507
6357,-18.7012,-23.4436,-38.8245,-7.2603,-0.0768,-16.1629
6367,-18.6951,-23.7000,-39.0564,-7.2486,-0.2870,-16.3487
6377,-18.7439,-23.4924,-38.7939,-7.2930,-0.1150,-16.1392
