 Time ,Vertical velocity ,Vertical acceleration ,Lateral velocity (m/s),Lateral acceleration ,Roll rate ,Pitch rate ,Yaw rate ,Mass (g),Rotational moment of inertia ,CP location (cm),CG location (cm),Thrust ,Drag force ,Axial drag coefficient ,Air pressure (mbar)
0.002,-0.00612,-3.06064,0,0,0,0,0,817.04973,0.00036,0,49.61964,5.5,0,2.76513,1013.25
0.004,0.0208,10.40312,0,0,0,0,0,817.02167,0.00036,0,49.61891,16.5,0,2.1311,1013.25
0.006,0.06854,23.86781,0,0,0,0,0,816.9936,0.00036,0,49.61818,27.5,0.00001,1.43693,1013.24999
0.008,0.1432,37.33339,0,0,0,0,0,816.96554,0.00036,0,49.61745,38.5,0.00003,1.3839,1013.24996
0.01,0.2448,50.79986,0,0,0,0,0,816.93747,0.00036,0,49.61672,49.5,0.00009,1.2569,1013.24992
0.012,0.38754,71.37565,0,0,0,0,0,816.82369,0.00036,0,49.61375,66.3,0.0002,1.10466,1013.24984
0.014,0.58564,99.0587,0,0,0,0,0,816.7099,0.00036,0,49.61079,88.9,0.00041,0.99491,1013.24973
0.016,0.83912,126.74928,0,0,0,0,0,816.59612,0.00036,0,49.60782,111.5,0.00077,0.91518,1013.24956
0.018,1.148,154.44732,0,0,0,0,0,816.48233,0.00036,0,49.60485,134.1,0.00136,0.85533,1013.24933
0.02,1.51228,182.15272,0,0,0,0,0,816.36855,0.00036,0,49.60189,156.7,0.00222,0.80887,1013.24902
0.022,1.90161,194.68721,0,0,0,0,0,816.20272,0.00036,0,49.59756,166.9,0.00337,0.77401,1013.24862
0.024,2.28563,192.03117,0,0,0,0,0,816.03689,0.00036,0,49.59323,164.7,0.0047,0.74822,1013.24812
0.026,2.66434,189.37383,0,0,0,0,0,815.87106,0.00036,0,49.5889,162.5,0.00622,0.72807,1013.24754
0.028,3.03774,186.71521,0,0,0,0,0,815.70523,0.00036,0,49.58457,160.3,0.0079,0.71173,1013.24688
0.03,3.40581,184.05531,0,0,0,0,0,815.53939,0.00036,0,49.58023,158.1,0.00974,0.69812,1013.24612
0.032,3.76905,181.63703,0,0,0,0,0,815.38377,0.00036,0,49.57616,156.1,0.01173,0.68653,1013.24528
0.034,4.12794,179.46299,0,0,0,0,0,815.22814,0.00036,0,49.57209,154.3,0.01386,0.67649,1013.24435
0.036,4.48248,177.28795,0,0,0,0,0,815.07252,0.00036,0,49.56802,152.5,0.01613,0.66766,1013.24334
0.038,4.83268,175.11191,0,0,0,0,0,814.91689,0.00036,0,49.56395,150.7,0.01853,0.65983,1013.24225
0.04,5.17851,172.9349,0,0,0,0,0,814.76127,0.00036,0,49.55987,148.9,0.02105,0.65282,1013.24108
0.042,5.51656,169.03474,0,0,0,0,0,814.62197,0.00036,0,49.55622,145.7,0.02366,0.64654,1013.23982
0.044,5.84336,163.41431,0,0,0,0,0,814.48267,0.00036,0,49.55257,141.1,0.02632,0.64096,1013.23849
